candidate_id,step,step_name,bs,model,seq,minibatch,kv_len_1,kv_len_2,kv_len_3,kv_len_4,comp_comm_overlap,arch,noc,tp,ep,ep1,ep2,sp,cp,dp,fsdp,pp,tp_transform_moe,dram_total_layers,dram_active_layers,sm_count,smem_capacity_KiB,l1_throughput_Bpc,L1_mult,L2_mult,L3_mult,paper_stps_avg,selection_source,selection_metric
table4_s01_bs4,1,AstraSim (tp/pp/dp),4,DeepSeekV3,1,4,1024,1365,1707,2048,False,stacked_gpu_base,torus_mesh_switch_1,256,1,1,1,1,1,1,False,1,none,4,4,8,256,256,1,1,1,177.06311348848084,merged_stacked_gpu_h200_decode_all_20260319.csv,max stps_avg after Step filter; fixed config re-evaluated without overlap
table4_s01_bs1024,1,AstraSim (tp/pp/dp),1024,DeepSeekV3,1,32,1024,1365,1707,2048,False,stacked_gpu_base,torus_mesh_switch_1,8,1,1,1,1,1,1,False,32,none,4,4,8,256,256,1,1,1,5729.1815202097241,merged_stacked_gpu_h200_decode_all_20260319.csv,max stps_avg after Step filter; fixed config re-evaluated without overlap
table4_s02_bs4,2,+ Full Parallel,4,DeepSeekV3,1,4,1024,1365,1707,2048,False,stacked_gpu_base,torus_mesh_switch_1,16,16,4,1,1,1,1,False,1,none,4,4,8,256,256,1,1,1,256.37285780013974,merged_stacked_gpu_h200_decode_all_20260319.csv,max stps_avg after Step filter; fixed config re-evaluated without overlap
table4_s02_bs1024,2,+ Full Parallel,1024,DeepSeekV3,1,512,1024,1365,1707,2048,False,stacked_gpu_base,torus_mesh_switch_1,2,64,64,1,1,1,1,False,2,none,4,4,8,256,256,1,1,1,21252.311015270006,merged_stacked_gpu_h200_decode_all_20260319.csv,max stps_avg after Step filter; fixed config re-evaluated without overlap
table4_s03_bs4,3,+ Flexible Parallelism Across Module,4,DeepSeekV3,1,4,1024,1365,1707,2048,False,stacked_gpu_base,torus_mesh_switch_1,16,16,4,1,1,1,1,False,1,none,4,4,8,256,256,1,1,1,256.37285780013974,merged_stacked_gpu_h200_decode_all_20260319.csv,max stps_avg after Step filter; fixed config re-evaluated without overlap
table4_s03_bs1024,3,+ Flexible Parallelism Across Module,1024,DeepSeekV3,1,512,1024,1365,1707,2048,False,stacked_gpu_base,torus_mesh_switch_1,4,32,32,1,1,1,1,False,2,replace_only,4,4,8,256,256,1,1,1,24487.830402977688,merged_stacked_gpu_h200_decode_all_20260319.csv,max stps_avg after Step filter; fixed config re-evaluated without overlap
table4_s04_bs4,4,+ Search On-chip Architecture,4,DeepSeekV3,1,4,1024,1365,1707,2048,False,stacked_gpu_wgmma,torus_mesh_switch_1,16,16,4,1,1,1,1,False,1,none,4,4,8,256,256,1,1,1,314.15738787144835,merged_stacked_gpu_h200_decode_all_20260319.csv,max stps_avg after Step filter; fixed config re-evaluated without overlap
table4_s04_bs1024,4,+ Search On-chip Architecture,1024,DeepSeekV3,1,512,1024,1365,1707,2048,False,stacked_gpu_wgmma,torus_mesh_switch_1,4,32,32,1,1,1,1,False,2,replace_only,4,4,8,256,256,1,1,1,31349.85852184557,merged_stacked_gpu_h200_decode_all_20260319.csv,max stps_avg after Step filter; fixed config re-evaluated without overlap
table4_s05_bs4,5,+ Comm-Comp Overlap,4,DeepSeekV3,1,4,1024,1365,1707,2048,True,stacked_gpu_wgmma,torus_mesh_switch_1,16,16,4,1,1,1,1,False,1,none,4,4,8,256,256,1,1,1,340.52508238980482,merged_stacked_gpu_h200_decode_all_20260319.csv,Step 4 winner re-evaluated with communication-compute overlap
table4_s05_bs1024,5,+ Comm-Comp Overlap,1024,DeepSeekV3,1,512,1024,1365,1707,2048,True,stacked_gpu_wgmma,torus_mesh_switch_1,4,32,32,1,1,1,1,False,2,replace_only,4,4,8,256,256,1,1,1,38061.037122151043,merged_stacked_gpu_h200_decode_all_20260319.csv,Step 4 winner re-evaluated with communication-compute overlap
table4_s06_bs4,6,+ Stacking DSE,4,DeepSeekV3,1,4,1024,1365,1707,2048,True,stacked_gpu_wgmma,torus_mesh_switch_1,16,16,4,1,1,1,1,False,1,replace_only,10,10,4,256,1024,1,1,1,493.28660731826028,dram_layer_decode_result_dpsk_mn1to12.csv,max scaled_stps_avg for DeepSeekV3 and batch size
table4_s06_bs1024,6,+ Stacking DSE,1024,DeepSeekV3,1,1024,1024,1365,1707,2048,True,stacked_gpu_wgmma,torus_mesh_switch_1,4,32,32,1,1,1,2,False,1,replace_only,7,7,6,128,1024,1,1,1,51094.461163870947,dram_layer_decode_result_dpsk_mn1to12.csv,max scaled_stps_avg for DeepSeekV3 and batch size
table4_s07_bs4,7,+ NoC DSE,4,DeepSeekV3,1,4,1024,1365,1707,2048,True,stacked_gpu_wgmma,torus_mesh_switch_1,16,16,4,1,1,1,1,False,1,replace_only,9,9,4,256,1024,0.69999999999999996,0.90000000000000002,1.8999999999999999,494.12063839409694,step7_fine_bs4.csv,max scaled_stps_avg in fine NoC search; hardware row joined by hw_idx
table4_s07_bs1024,7,+ NoC DSE,1024,DeepSeekV3,1,1024,1024,1365,1707,2048,True,stacked_gpu_wgmma,torus_mesh_switch_1,4,32,32,1,1,1,2,False,1,replace_only,7,7,6,128,1024,1.8999999999999999,0.40000000000000002,1.7,54280.328330925593,step7_fine_bs1024.csv,max scaled_stps_avg in fine NoC search; hardware row joined by hw_idx
